filename,ground_truth,prediction
TEST_0001.jpg,KEVIN,Kevin .
TEST_0002.jpg,CLOTAIRE,000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000 000
TEST_0003.jpg,LENA,Lena .
TEST_0004.jpg,JULES,Jules .
TEST_0005.jpg,CHERPIN,cheap in ...
TEST_0006.jpg,MARTIN,green : MARTIN .
TEST_0007.jpg,VALENTINE,Valentine .
TEST_0008.jpg,LORAS,non-workers .
TEST_0009.jpg,THIBAULT,japenom . THI G.A. L.T.
TEST_0010.jpg,AZABI,# AZAG (
TEST_0011.jpg,GORTCHAKOFF,non-PORTCHFORM OF
TEST_0012.jpg,MAHENTHIRAN,taken than
TEST_0013.jpg,FRANSOISSISEPH,# Sponsors seek
TEST_0014.jpg,JEANNE,Jeanne .
TEST_0015.jpg,DEBORAH,season : DEBOA #
TEST_0016.jpg,DROUCS,proves .
TEST_0017.jpg,JADE,# Wisconsin soccer
TEST_0018.jpg,CORNIL FRERROT,cornil FRERRY
TEST_0019.jpg,CLEMET,# Clement
TEST_0020.jpg,RELIS,men's soccer men .
TEST_0021.jpg,NAMIZATA FATIM,namizara fatim
TEST_0022.jpg,FOURNEL,Maxwell
TEST_0023.jpg,DICINTIO-ILLESCA,DECTIO-IL LEC
TEST_0024.jpg,BARDOT,appear ...
TEST_0025.jpg,DUVAL,now . . ' Dave .
TEST_0026.jpg,ANTONY,"season : A N. "" O. Ny ."
TEST_0027.jpg,LISA,# . . 0 0 0 0 0 0
TEST_0028.jpg,CELIA,economic care
TEST_0029.jpg,GRODZKI,crofts .
TEST_0030.jpg,HUGO,FROM : N.UGO .
TEST_0031.jpg,HUGO,Freedom . .
TEST_0032.jpg,ELOUEN,eleven ...
TEST_0033.jpg,SCHOEMAECKER,now . . ' so the MACN
TEST_0034.jpg,HOARAU,Makarau ___
TEST_0035.jpg,STEENKERSTE,stenkerste
TEST_0036.jpg,DI -FONZO,DIEGO
TEST_0037.jpg,BUIREY,now . ' ' ' ' ' ' ' ' ' ' '
TEST_0038.jpg,ROMAN,Isom. Roman
TEST_0039.jpg,MILLE,middle .
TEST_0040.jpg,CAROLINE,caroling
TEST_0041.jpg,PAUL,PRODUCTIONAL
TEST_0042.jpg,BECHARA,"now . ' Becky """
TEST_0043.jpg,DIBOS,non-bibos ...
TEST_0044.jpg,JEAN COME,greenom : Jean come
TEST_0045.jpg,DRENIN,"Iann. Drew ( """
